bank

4 , 347
4 , 358
43 , 377
183 , 419
273 , 436
335 , 439
370 , 433
401 , 420
424 , 399
511 , 228
509 , 210
411 , 139
324 , 98
263 , 86
179 , 95
133 , 135
113 , 162


emptyIsland

41 , 554
16 , 600
40 , 624
52 , 632
421 , 772
639 , 816
775 , 822
847 , 792
882 , 767
920 , 714
983 , 495
1011 , 208
1005 , 194
972 , 188
790 , 231
202 , 447

rocky

613 , 78
272 , 150
166 , 197
86 , 314
85 , 459
136 , 630
200 , 704
526 , 932
886 , 769
967 , 685
992 , 599 
980 , 491
932 , 392
823 , 258


shipyard

162 , 47
6 , 84
2 , 104
43 , 233
103 , 406
136 , 448
176 , 469
234 , 475
372 , 432
439 , 367
510 , 162
491 , 138
339 , 26


village

264 , 886
696 , 877
1011 , 611
1007 , 551
517 , 122
471 , 116
55 , 266
14 , 789
59 , 856


village2

727 , 85
679 , 91
82 , 468
42 , 594
90 , 704
193 , 795
310 , 850
457 , 877
649 , 852
869 , 747 
991 , 565
979 , 246
847 , 131


volcano

59 , 399
40 , 181
87 , 87
176 , 49
277 , 59
341 , 133
394 , 373
372 , 499
321 , 565
220 , 594
151 , 574
108 , 536

turtleshellisland

222 , 0
166 , 18
86 , 78
1, 192
1 , 223
51 , 292
101 , 345
120 , 363
167 , 394
210 , 414
353 , 414
407 , 403
449 , 381
471 , 362
496 , 320
511 , 269
511 , 151
495 , 88
467 , 46
435 , 23
398 , 8
343 , 0
